category,category_order,subject_id,canonical_finger_position,b_score,c_score,b_stage,c_stage,sheet_path
b_accepted_c_rejected_first10,1,00001000,3,6,2,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_01.png
b_accepted_c_rejected_first10,2,00001002,1,5,0,accepted_4_or_more_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_01.png
b_accepted_c_rejected_first10,3,00001003,6,5,2,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_01.png
b_accepted_c_rejected_first10,4,00001006,1,4,2,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_01.png
b_accepted_c_rejected_first10,5,00001006,6,6,2,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_01.png
b_accepted_c_rejected_first10,6,00001006,9,4,3,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_02.png
b_accepted_c_rejected_first10,7,00001009,1,5,2,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_02.png
b_accepted_c_rejected_first10,8,00001009,8,4,2,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_02.png
b_accepted_c_rejected_first10,9,00001009,9,4,2,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_02.png
b_accepted_c_rejected_first10,10,00001010,5,4,2,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/b_accepted_c_rejected_first10/page_02.png
both_rejected_first10,1,00001000,1,2,2,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_01.png
both_rejected_first10,2,00001000,2,2,2,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_01.png
both_rejected_first10,3,00001000,4,0,2,insufficient_mutual_matches,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_01.png
both_rejected_first10,4,00001000,5,0,2,insufficient_mutual_matches,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_01.png
both_rejected_first10,5,00001000,6,2,2,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_01.png
both_rejected_first10,6,00001000,7,2,2,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_02.png
both_rejected_first10,7,00001000,8,0,2,insufficient_mutual_matches,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_02.png
both_rejected_first10,8,00001000,9,0,2,insufficient_mutual_matches,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_02.png
both_rejected_first10,9,00001000,10,2,2,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_02.png
both_rejected_first10,10,00001001,2,2,0,valid_model_but_0_to_3_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/both_rejected_first10/page_02.png
c_accepted_all,1,00001051,1,5,4,accepted_4_or_more_inliers,accepted_4_or_more_inliers,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_accepted_all/page_01.png
c_score_zero_first10,1,00001001,2,2,0,valid_model_but_0_to_3_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_01.png
c_score_zero_first10,2,00001001,10,0,0,insufficient_mutual_matches,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_01.png
c_score_zero_first10,3,00001002,1,5,0,accepted_4_or_more_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_01.png
c_score_zero_first10,4,00001002,2,2,0,valid_model_but_0_to_3_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_01.png
c_score_zero_first10,5,00001002,3,2,0,valid_model_but_0_to_3_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_01.png
c_score_zero_first10,6,00001002,4,0,0,insufficient_mutual_matches,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_02.png
c_score_zero_first10,7,00001002,5,2,0,valid_model_but_0_to_3_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_02.png
c_score_zero_first10,8,00001002,7,2,0,valid_model_but_0_to_3_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_02.png
c_score_zero_first10,9,00001002,9,2,0,valid_model_but_0_to_3_inliers,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_02.png
c_score_zero_first10,10,00001002,10,0,0,insufficient_mutual_matches,insufficient_mutual_matches,results/harriszplus_rootsift_geometric_v3/postmortem/inspection/c_score_zero_first10/page_02.png
